Family,Genus,Species,Binomial,X_For_Partition,Binomial_2,No_VF,RNA,DNA,Retro,Zoo,RWL,log_AR,AR,log_Forearm,Forearm,log_Mass,Mass,Pulse,sqrt_Rarea,Range_Area,Median_Y_Lat,Median_X_Long,Sympatry,log_Median,Group Size,Roost,Lifespan,Torpor,Diet_2,Migration,Status,Trend,sin_Citations,sin_No_Mixed,Residuals,PhyloClust56,PhyloClust41
Miniopteridae,Miniopterus,fuscus,Miniopterus fuscus,123,Miniopterus_fuscus,1,1,0,0,1,NA,NA,NA,1.617943435,41.49000002,1.034227261,10.82000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pred,NA,E,D,0.881373587,NA,NA,PC1,PC6
Miniopteridae,Miniopterus,gleni,Miniopterus gleni,124,Miniopterus_gleni,1,1,0,0,1,NA,NA,NA,NA,NA,1.07114529,11.77999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pred,NA,LC,U,1.443635475,NA,NA,PC1,PC6
Miniopteridae,Miniopterus,manavi,Miniopterus manavi,125,Miniopterus_manavi,1,1,0,0,1,NA,NA,NA,1.581779046,38.17500002,0.892651034,7.810000002,NA,NA,NA,NA,NA,NA,NA,NA,CV,NA,NA,Pred,NA,LC,U,2.312438341,NA,NA,PC1,PC6
Miniopteridae,Miniopterus,natalensis,Miniopterus natalensis,126,Miniopterus_natalensis,1,1,0,0,1,NA,NA,NA,1.653212514,45.00000002,1.018284308,10.42999999,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pred,NA,LC,U,3.402306645,NA,NA,PC1,PC6
Miniopteridae,Miniopterus,sororculus,Miniopterus sororculus,127,Miniopterus_sororculus,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pred,NA,LC,U,0.881373587,NA,NA,PC1,PC6
Molossidae,Chaerephon,leucogaster,Chaerephon leucogaster,128,Chaerephon_leucogaster,1,1,0,0,1,NA,NA,NA,NA,NA,1.088844563,12.27000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pred,NA,NA,NA,2.094712547,NA,NA,PC1,PC7
Molossidae,Eumops,auripendulus,Eumops auripendulus,129,Eumops_auripendulus,1,1,0,0,1,NA,NA,NA,1.798422736,62.86699994,1.5289167,33.79999998,NA,3755.848772,14106400,-6.6980901,-60.1814003,294,NA,NA,G,NA,T,Pred,NA,LC,U,2.094712547,1.443635475,33.41618035,PC1,PC7
Molossidae,Eumops,bonariensis,Eumops bonariensis,130,Eumops_bonariensis,1,1,0,0,1,NA,NA,NA,1.64246452,43.89999998,1.087071206,12.22,1,1077.770848,1161590.001,-29.7621994,-58.2622986,57,NA,NA,G,NA,NA,Pred,NA,LC,U,0.881373587,3.333477587,-57.58466178,PC1,PC7
Molossidae,Eumops,patagonicus,Eumops patagonicus,131,Eumops_patagonicus,1,1,0,0,1,NA,NA,NA,NA,NA,1.474361976,29.81,NA,1239.318361,1535910,-26.5132999,-60.6449013,83,NA,NA,NA,NA,NA,Pred,NA,LC,S,0.881373587,NA,-40.39165004,PC1,PC7
Molossidae,Mops,leucostigma,Mops leucostigma,132,Mops_leucostigma,1,1,0,0,1,NA,NA,NA,NA,NA,1.423245874,26.5,NA,459.8521502,211464,-17.8255005,46.6066017,36,NA,NA,G,NA,NA,Pred,NA,LC,U,2.094712547,NA,-44.89796106,PC1,PC7
Molossidae,Mormopterus,acetabulosus,Mormopterus acetabulosus,133,Mormopterus_acetabulosus,1,1,0,0,1,NA,NA,NA,1.590953235,38.98999998,0.956648579,9.049999996,NA,70.69809202,4998.220215,-19.4776001,53.7419014,49,NA,NA,NA,NA,NA,Pred,NA,V,U,0.881373587,NA,-10.68268414,PC1,PC7
Molossidae,Mormopterus,jugularis,Mormopterus jugularis,134,Mormopterus_jugularis,1,1,0,0,1,NA,NA,NA,1.572523098,37.37000001,1.06069784,11.49999999,NA,485.2329338,235451,-21.0398998,46.8703003,30,NA,NA,G,NA,NA,Pred,NA,LC,U,2.644120761,NA,-52.28162992,PC1,PC7
Molossidae,Otomops,madagascariensis,Otomops madagascariensis,135,Otomops_madagascariensis,1,1,0,0,1,NA,NA,NA,1.794488047,62.30000005,1.441852176,27.66000001,NA,59.49344477,3539.469971,-18.2754993,45.8196983,24,1.498310554,31.50000002,G,NA,NA,Pred,NA,LC,U,2.312438341,NA,-35.07184715,PC1,PC7
Nycteridae,Nycteris,hispida,Nycteris hispida,136,Nycteris_hispida,1,1,0,0,0,27,0.681241237,4.799999996,1.610926193,40.82499996,0.892094603,7.800000006,1,3391.931603,11505200,0.951459,19.8276997,184,1.021189299,10.5,NA,NA,NA,Pred,NA,LC,S,1.818446459,0,-56.74436698,PC4,PC24
Phyllostomidae,Artibeus,fimbriatus,Artibeus fimbriatus,137,Artibeus_fimbriatus,1,1,0,0,1,33.67631904,NA,NA,NA,NA,1.805432888,63.88999998,NA,1218.671408,1485160.001,-22.1028004,-48.0410004,102,NA,NA,NA,NA,NA,Phyto,NA,LC,S,3.179785438,NA,-20.26605257,PC3,PC12
Phyllostomidae,Artibeus,glaucus,Artibeus glaucus,138,Artibeus_glaucus,1,1,0,0,0,NA,NA,NA,1.624282096,42.10000002,1.086359831,12.20000001,NA,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,Phyto,NA,LC,U,0,NA,NA,PC3,PC12
Phyllostomidae,Carollia,sowelli,Carollia sowelli,139,Carollia_sowelli,1,1,0,0,0,NA,NA,NA,NA,NA,1.204662512,16.02000001,2,888.9493799,790231,15.8074999,-89.0733032,142,NA,NA,NA,NA,T,Phyto,NA,LC,S,3.333477587,NA,37.70920424,PC3,PC12
Phyllostomidae,Lonchophylla,thomasi,Lonchophylla thomasi,140,Lonchophylla_thomasi,1,0,1,0,1,41.0818,0.802609551,6.347599993,1.505149978,31.99999998,0.838849091,6.900000004,NA,2895.341085,8382999.998,-3.00372,-64.4545975,230,NA,NA,NA,NA,NA,Phyto,NA,LC,U,1.443635475,NA,16.32795858,PC3,PC12
Pteropodidae,Epomophorus,wahlbergi,Epomophorus wahlbergi,141,Epomophorus_wahlbergi,1,1,0,0,1,NA,NA,NA,1.897077003,78.89999996,1.869818208,74.1,2,2236.289337,5000989.999,-10.4056997,28.3747005,154,1.711807229,51.5,F,NA,NT,Phyto,Y,LC,S,4.304247658,1.443635475,-23.74291503,PC7,PC41
Pteropodidae,Rousettus,madagascariensis,Rousettus madagascariensis,142,Rousettus_madagascariensis,1,1,0,0,1,NA,NA,NA,1.840419778,69.25000004,1.788875116,61.50000003,NA,541.0683875,292755,-17.9503994,47.5802002,32,NA,NA,G,NA,NA,Phyto,NA,NT,D,3.402306645,NA,-53.32557766,PC7,PC41
Rhinolophidae,Rhinolophus,alcyone,Rhinolophus alcyone,143,Rhinolophus_alcyone,1,0,0,1,1,NA,NA,NA,1.72057272,52.54999996,1.269979677,18.62000002,NA,1690.804542,2858819.999,1.9655,14.3676004,135,NA,NA,G,NA,NA,Pred,NA,LC,U,0.881373587,NA,-13.00504968,PC5,PC25
Rhinolophidae,Rhinolophus,blythi,Rhinolophus blythi,144,Rhinolophus_blythi,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pred,NA,NA,NA,1.443635475,NA,NA,PC5,PC25
Rhinolophidae,Rhinolophus,mehelyi,Rhinolophus mehelyi,145,Rhinolophus_mehelyi,1,1,0,0,1,45.5648566,NA,NA,1.685741739,48.50000004,0.986771734,9.699999994,NA,1406.243222,1977519.999,37.1100998,18.7049999,57,2.423245874,265,CV,NA,H,Pred,N,V,D,3.829113652,1.818446459,-75.49179194,PC5,PC25
Rhinolophidae,Rhinolophus,simulator,Rhinolophus simulator,146,Rhinolophus_simulator,1,1,0,0,1,NA,NA,NA,1.648262406,44.49000003,0.910090546,8.130000008,NA,1382.403704,1911040.001,-10.6612997,33.053299,157,NA,NA,G,NA,NA,Pred,NA,LC,D,2.094712547,NA,25.80785267,PC5,PC25
